CymbaltaEpSO;cymbalta
AtivanEpSO;ativan
ThermalSeziureEpSO;thermal seziur;thermal seziure;thermal seizur;thermal seizure
HemisphericEpileptogenicZoneEpSO;hemispher epileptogen zone;hemispheric epileptogenic zone;hemisphere;hemispher
EpilepticSpasmStatusEpSO;epileptic spasm status;epilept spasm status
LisdexamfetamineDimesylateEpSO;lisdexamfetamine dimesylate;lisdexamfetamin dimesyl
AtonicStatusEpSO;atonic status;aton status
NarcolepsyEpSO;narcolepsy;narcolepsi
TemporalSlowActivityEpSO;tempor slow activ;temporal slow activity
AnteriorMedianEminenceEpSO;anterior median eminence;anterior median emin
ArteriovenousMalformationEpSO;arteriovenous malformation;arterioven malform
SaphrisEpSO;saphri;saphris
DerivedEEGDataEpSO;derived e e g data;deriv e e g data
ElectrodeCI6EpSO;electrode c i6;electrod c i6
HaldolEpSO;haldol
OccipitalLobeSegmentEpSO;occipit lobe segment;occipital lobe segment
RightFrontalPoleEpSO;right fronto-polar;left frontal pole;right frontal pole
FrontalPoleEpSO;frontal pole;fronto-polar
AdultEpSO;adult
IntermittentSlowActivityEndEpSO;intermitt slow activ end;intermittent slow activity end;end of intermitt slow;end of intermittent slow
BipolarDisorderEpSO;bipolar disorder;bipolar disord
RightDorsalHypothalamicAreaEpSO;right dorsal hypothalam area;right dorsal hypothalamic area
ElectrodeP8EpSO;electrode p8;electrod p8
DysmatureEpSO;dysmature;dysmatur
DexmethylphenidateEpSO;dexmethylphenidate;dexmethylphenid
CACNB4EpSO;calcium channel, voltage-dependent, beta 4 subunit;c a c n b4
RightTemporalPoleEpSO;left temporal pole;left tempor pole;right temporal-polar;right tempor pole;right temporal pole
ElectrodeP10EpSO;electrode p10;electrod p10
CerebellumHemisphereEpSO;cerebellum hemispher;hemispher of cerebellum;cerebellum hemisphere;hemisphere of cerebellum
LeftBrainstemSegmentEpSO;left brainstem segment;left side of brainstem
AutomotorEpisodeEpSO;automotor episode;automotor episod
CartesianSpatialCoordinateDatumEpSO;cartesian spatial coordinate datum;cartesian spatial coordin datum
ForebrainSegmentEpSO;segment of forebrain;forebrain segment
FocalCorticalDysplasiaTypeIIBEpSO;fcd type iib (dysmorph neuron and balloon cell);fcd type iib (dysmorphic neurons and balloon cell);focal cortical dysplasia type i i b;focal cortic dysplasia type i i b
AutosomalDominantPartialEpilepsyWithAuditoryFeaturesEpSO;adpeaf;autosom domin partial epilepsi with auditori featur;autosomal dominant partial epilepsy with auditory features
VascularMalformationEpSO;vascular malform;vascular malformation
ParestheticStatusEpSO;paresthetic status;paresthet status
HypothalamusZoneEpSO;zone of hypothalamus;hypothalamus zone
RightMesialTemporalLobeSegmentEpSO;right mesial tempor lobe segment;right mesial temporal;right mesial tempor;right mesial temporal lobe segment
LeftInsulaEpSO;left insular;left insula
HypomotorSeizureEpSO;hypomotor seizur;hypomotor seizure
PermitilEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>219172</rxnormid></idgroup></rxnormdata>;permitil
AstaticSeizureEpSO;astatic seizure;astat seizur
TemporoParietalEpilepsyEpSO;temporo pariet epilepsi;temporo parietal epilepsy
AutismSpectrumDisorderEpSO;autism spectrum disord;autism spectrum disorder
PolyopiaEpSO;polyopia
LateralizingSignEpSO;lateralizing sign;later sign
InsulaAnteriorLobuleEpSO;anterior lobul of insula;anterior segment of insula;insula anterior lobule;insula anterior lobul;anterior lobule of insula
SharpTransientEpSO;sharp transient
BrodmannArea4RightParacentralLobulePosteriorSegmentEpSO;brodmann area 4 of posterior segment of right paracentr lobul;posterior segment of brodmann area 4 right paracentral lobule;brodmann area4 right paracentral lobule posterior segment;posterior segment of brodmann area 4 right paracentr lobul;brodmann area4 right paracentr lobul posterior segment;brodmann area 4 of posterior segment of right paracentral lobule
ComplexAuditoryAuraEpSO;complex auditory aura;complex auditori aura
SchizencepahlyEpSO;schizencepahly;schizencepah
RightSecondToeEpSO;right second toe
AuditoryN2bEpSO;auditori n2b;auditory n2b
CerebralHemisphereMedialSegmentEpSO;cerebral hemisphere medial segment;cerebr hemispher medial segment;medial region of cerebr hemispher;medial segment of cerebr hemispher;medial region of cerebral hemisphere;medial segment of cerebral hemisphere
ElectrodeF10EpSO;electrod f10;electrode f10
SymbyaxEpSO;symbyax
EzogabineEpSO;ezogabin;ezogabine
AnteriorTemporalEpilepsyEpSO;anterior temporal epilepsy;anterior tempor epilepsi
ElectrodePL6EpSO;electrod p l6;electrode p l6
SleepDisorderEpSO;sleep disorder;sleep disord
SecondToeEpSO;second toe;digitus secundus [ii]
AveragedEEGDataEpSO;averag eeg data set;erp data set;averaged eeg data set;averaged e e g data;averag e e g data
Frontal10-10SystemEpSO;frontal 10-10 system;frontal10-10 system
PhenobarbitalEpSO;phenobarbital;phenobarbit
ThighEpSO;thigh;proxim segment of free lower limb;proximal segment of free lower limb
RingFingerEpSO;ring finger;fourth finger
ChlorprothixeneEpSO;chlorprothixene;chlorprothixen
SubClinicalStatusEpSO;sub clinical status;sub clinic status
ParietalLobeEpilepsyEpSO;pariet lobe epilepsi;parietal lobe epilepsy
CitalopramHydrobromideEpSO;citalopram hydrobromide;citalopram hydrobromid
RightAnteriorFrontalLobeSegmentEpSO;right anterior frontal lobe segment
CerebralInfarctionEpSO;cerebral infarction;cerebr infarct
OccipitalLobeEpSO;occipital lobe;occipit;occipit cortex;occipital cortex;occipit lobe;occipital
OrbitoFrontalEpilepsyEpSO;orbito frontal epilepsy;orbito frontal epilepsi
SubClinicalEpisodeEpSO;sub clinical episode;sub clinic episod
AuditoryAuraStatusEpSO;auditory aura status;auditori aura status
BrainEpSO;brain
OrganRegionEpSO;organ region
MaprotilineEpSO;maprotiline;maprotilin
ChildhoodFebrileSeizureEpSO;childhood febril seizur;childhood febrile seizure
ClinicalRecommendationEpSO;clinic recommend;clinical recommendation
LateralOccipitalLobeSegmentEpSO;later occipit lobe segment;lateral occipital lobe segment
EEGStatisticalTMapEpSO;eeg statist t map;eeg statistical t map;e e g statist t map;e e g statistical t map
LateralTemporalLobeSegmentEpSO;later tempor lobe segment;lateral temporal lobe segment;later tempor;lateral temporal
DesvenlafaxineEpSO;desvenlafaxine;desvenlafaxin
DrugBrandNameEpSO;drug brand name
PhenTussDMEpSO;phen tuss d m;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>540019</rxnormid></idgroup></rxnormdata>
STXBP1EpSO;s t x b p1;syntaxin binding protein 1;syntaxin bind protein 1
PhenerganEpSO;phenergan
ElectrodeP9EpSO;electrode p9;electrod p9
LeftAnteriorTemporalLobeSegmentEpSO;left anterior tempor lobe segment;left anterior temporal lobe segment
SexualSeizureEpSO;sexual seizure;sexual seizur
AnteriorCingulateEpilepsyEpSO;anterior cingulate epilepsy;anterior cingul epilepsi
SphenoidalEpSO;sphenoidal;sphenoid
ElectrodeAM5EpSO;electrode a m5;electrod a m5
FrontalIntermittentRythmicDeltaActivityEpSO;frontal intermitt rythmic delta activ;frontal intermittent rythmic delta activity
ParietalP3bEpSO;parietal p3b;pariet p3b
HyperventilationResponseEpSO;hyperventil respons;hyperventilation response
MoclobemideEpSO;moclobemid;moclobemide
SeroquelEpSO;seroquel
ElectrodeC4EpSO;electrod c4;electrode c4
PeriventricularHypothalamusZoneEpSO;periventricular hypothalamus zone;periventricular zone of hypothalamus
StatusPatternEpSO;status pattern
OlfactoryAuraEpSO;olfactori aura;olfactory aura
OrganismEpSO;organ;organism
ThreeDimensionalCartesianSpatialCoordinateDatumEpSO;three dimensional cartesian spatial coordinate datum;three dimension cartesian spatial coordin datum
LeftAnteriorCingulateSegmentEpSO;left anterior cingulate segment;left anterior cingul segment
PosteriorHypothalamicZoneEpSO;mammillari region;mammillary region;posterior hypothalamic zone;posterior hypothalam zone;posterior hypothalam region;posterior hypothalamic region
ElectrodePL5EpSO;electrod p l5;electrode p l5
HypersomniaEpSO;hypersomnia
RestlessLegSyndromeEpSO;restless leg syndrom;restless leg syndrome
SpindleStuporEpSO;spindl stupor;spindle stupor
SubcorticalTelecephalonSegmentEpSO;segment  of subcort telencephalon;subcortical telecephalon segment;segment  of subcortical telencephalon;subcort telecephalon segment
PrudoxinEpSO;prudoxin
BodyProperSubdivisionEpSO;bodi proper subdivis;subdivis of bodi proper;subdivision of body proper;body proper subdivision
OligodendrogliomaEpSO;oligodendroglioma
SimpleMotorStatusEpSO;simpl motor status;simple motor status
MicrocephalyEpSO;microcephaly;microcephali
RightIndexFingerEpSO;right index finger
LateralTemporalEpilepsyEpSO;lateral temporal epilepsy;later tempor epilepsi
PeriodicLateralizedEpileptiformDischargeEpSO;periodic lateralized epileptiform discharge;periodic lateralized epileptiform discharge (pled);period later epileptiform discharg;period later epileptiform discharg (pled)
TuberCinereumEpSO;tuber cinereum
NeckEpSO;neck;neck (volume)
ChildhoodEpilepsyWithOccipitalParoxysmsEpSO;childhood epilepsy with occipital paroxysms;childhood epilepsi with occipit paroxysm
ElectrodeSP1EpSO;electrode s p1;electrod s p1
ContinuantEpSO;continuant;continu
QuetiapineEpSO;quetiapin;quetiapine
AuditoryAuraEpSO;auditory aura;auditori aura
HandSegmentEpSO;hand segment;segment of hand
m2eEpSO
LamictalEpSO;lamict;lamictal®;lamictal
DejaVuEpSO;deja vu
AnteriorTemporalLobeSegmentEpSO;anterior tempor lobe segment;anterior temporal lobe segment
AnteriorFrontalLobeSegmentEpSO;anterior frontal lobe segment
SubClinicalSeizureEpSO;no clinic sign;no clinical signs;sub clinical seizure;sub clinic seizur
ClonazepamEpSO;clonazepam
RightFrontoParietalAbcessEpSO;right fronto pariet abcess;right fronto parietal abcess
FrontalOperculumEpSO;fronto-opercular;frontal operculum
TypicalDialepticSeizureEpSO;typic dialept seizur;typical dialeptic seizure
AmygdaloclaustralAreaEpSO;amygdaloclaustral area;amygdaloclaustr area
DiencephalonNeuralTissueEpSO;diencephalon neural tissue;diencephalon neural tissu;neural tissu of diencephalon;neural tissue of diencephalon
JuvenileAbsenceEpilepsyEpSO;juvenil absenc epilepsi;juvenile absence epilepsy
OccurrentEpSO;occurrent;occurr
LeftMesialTemporalLobeSegmentEpSO;left mesial temporal lobe segment;left mesial temporal;left mesial tempor lobe segment;left mesial tempor
RightAnteriorTemporalLobeSegmentEpSO;right anterior temporal lobe segment;right anterior tempor lobe segment
CerebralHemisphereSegmentEpSO;cerebral hemisphere subdivision;segment of cerebr hemispher;cerebr hemispher segment;segment of cerebral hemisphere;cerebral hemisphere segment;cerebr hemispher subdivis
SleepParalysisEpSO;sleep paralysi;sleep paralysis
TelencephalonSegmentEpSO;segment of telencephalon;telencephalon segment
LeftShoulderEpSO;left shoulder
ElectrodeAM6EpSO;electrode a m6;electrod a m6
BasalOccipitalLobeSegmentEpSO;basal occipital lobe segment;basal occipit lobe segment
ParietoOccipitalEpilepsyEpSO;parieto occipit epilepsi;parieto occipital epilepsy
ChronicProgressiveEpilepsiaPartialisContinuaofChildhoodEpSO;rasmussen’ enceph;chronic progressive epilepsia partialis continuaof childhood;chronic progress epilepsia partiali continuaof childhood;rasmussen’s encephalitis
SpikeWaveComplex3HzEpSO;3-hz spike-and-wav complex;spike wave complex3 hz;3-hz spike-and-wave complex
CardinalFreeLimbSegmentEpSO;cardin free limb segment;cardinal free limb segment
FrontocentralP3aEpSO;p300;frontocentr p3a;frontocentral p3a
PremotorEpilepsyEpSO;premotor epilepsy;premotor epilepsi
RisperdalEpSO;risperdal;risperd
VersiveSeizureEpSO;versive seizure;versiv seizur
AmaurosisStatusEpSO;amaurosi status;amaurosis status
BellatalEpSO;bellatal;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>215608</rxnormid></idgroup></rxnormdata>;bellat
LeftInsulaAnteriorLobuleEpSO;left insula anterior lobule;anterior segment of left insula;anterior lobul of left insula;anterior lobule of left insula;left insula anterior lobul
FocalCorticalDysplasiaEpSO;focal cortical dysplasia;focal cortic dysplasia
DiazepamEpSO;diazepam
FingerEpSO;finger;digitus manus
DoxepinEpSO;doxepin
PectoralGirdleSubdivisionEpSO;pector girdl subdivis;subdivision of pectoral girdle;pectoral girdle subdivision;subdivis of pector girdl
SubarachnoidHemorrhageEpSO;subarachnoid hemorrhage;subarachnoid (aneurysmal) hemorrhage;subarachnoid (aneurysmal) hemorrhag;subarachnoid hemorrhag
CarbatrolEpSO;carbatrol;carbatrol®
DiagnosisEpSO;diagnosis;diagnosi
AmygdalopiriformTransitionAreaEpSO;amygdalopiriform transition area;amygdalopiriform transit area
AnatomicalStructureEpSO;anatom structur;anatomical cluster;anatomical structure;anatom cluster
TimeUnitEpSO;time unit
ThioridazineEpSO;thioridazin;thioridazine
RightSphenoidalEpSO;right sphenoidal;right sphenoid
MicropsiaEpSO;micropsia
CXCL10EpSO;chemokin (c-x-c motif) ligand 10;chemokine (c-x-c motif) ligand 10;c x c l10
BenignEEGPatternEpSO;benign e e g pattern
AlphaVariantEpSO;alpha variant
OccipitalPoleEpilepsyEpSO;occipital pole epilepsy;occipit pole epilepsi
FrontalLobeEpSO;frontal cortex;frontal lobe
PericiazineEpSO;periciazine;periciazin
NegativeMyoclonicEpisodeEpSO;negative myoclonic episode;negat myoclon episod
PosteriorParacentralGyrusEpSO;posterior paracentral gyrus;posterior paracentr gyrus
ClinicalDrugComponentEpSO;clinical drug component;clinic drug compon
CCL5EpSO;chemokine (c-c motif) ligand 5;c c l5;chemokin (c-c motif) ligand 5
PyschicAuraStatusEpSO;pyschic aura status
BrodmannArea3RightPostcentralGyrusEpSO;brodmann area 3 right postcentr gyrus;brodmann area 3 of right postcentral gyrus;brodmann area3 right postcentr gyrus;brodmann area 3 of right postcentr gyrus;brodmann area3 right postcentral gyrus;brodmann area 3 right postcentral gyrus
ElectrodeCP5EpSO;electrode c p5;electrod c p5
ImipramineEpSO;imipramine;imipramin
BrodmannArea4LeftMiddleFrontalGyrusEpSO;brodmann area 4 of left middle frontal gyrus;brodmann area 4 of left medial frontal gyrus;brodmann area4 left middl frontal gyrus;brodmann area 4 of left middl frontal gyrus;brodmann area 4 left middle frontal gyrus;brodmann area 4 left middl frontal gyrus;brodmann area4 left middle frontal gyrus
DiseaseEpSO;disease;diseas
AnteriorHypothalamicRegionEpSO;chiasmal zone;anterior hypothalam region;anterior hypothalamic region
RightLateralParietalLobeSegmentEpSO;right lateral parietal;right later pariet;right lateral parietal lobe segment;right later pariet lobe segment
AutonomicEpisodeEpSO;autonom episod;autonomic episode
HypnopompicSeizureEpSO;hypnopompic seizure;hypnopomp seizur
IsocarboxazidEpSO;isocarboxazid
SeniorEpSO;senior
NavaneEpSO;navane;navan;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>227449</rxnormid></idgroup></rxnormdata>
BrodmannArea3LeftPrecentralGyrusEpSO;brodmann area 3 of left precentral gyrus;brodmann area 3 of left precentr gyrus;brodmann area3 left precentr gyrus;brodmann area 3 left precentr gyrus;brodmann area3 left precentral gyrus;brodmann area 3 left precentral gyrus
TriphasicWaveEpSO;triphas wave;triphasic wave
TemporalPoleEpSO;tempor pole;temporal-polar;temporal pole
PainfulSeizureStatusEpSO;painful seizure status;pain seizur status
MilnacipranEpSO;milnacipran
SubclinicalRhythmicElectrographicDischargesinAdultEpSO;subclinical rhythmic electrographic dischargesin adult;subclin rhythmic electrograph dischargesin adult;sreda
OneDimensionalCartesianSpatialCoordinateDatumEpSO;one dimension cartesian spatial coordin datum;one dimensional cartesian spatial coordinate datum
DorsalHypothalamicAreaEpSO;dorsal hypothalam area;dorsal hypothalamic area;dorsal hypothalam region;dorsal hypothalamic region
AbnormalEEGPatternEpSO;abnormal e e g pattern;abnorm e e g pattern
AkineticEpisodeEpSO;akinetic episode;akinet episod
ElectrodeCI4EpSO;electrode c i4;electrod c i4
PleomorhicXanthoastrocytomaEpSO;pleomorhic xanthoastrocytoma;pleomorh xanthoastrocytoma
CompazineEpSO;compazine;compazin
ScalpRecordedERPDataEpSO;scalp recorded erp data set;scalp record erp data set;scalp record e r p data;scalp recorded e r p data
RightMesialFrontalLobeSegmentEpSO;right mesial frontal;right mesial frontal lobe segment
AnerganEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>992861</rxnormid></idgroup></rxnormdata>;anergan
FrisiumEpSO;frisium;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>151794</rxnormid></idgroup></rxnormdata>
ParasiticCystsEpSO;parasit cyst;parasitic cysts
Di-PhenEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>216561</rxnormid></idgroup></rxnormdata>;di- phen
TypicalDialepticStatusEpSO;typic dialept status;typical dialeptic status
LeftFootEpSO;left foot
LeftMiddleFingerEpSO;left middl finger;left middle finger
HumanBodyPartEpSO;human bodi part;human body part
ThetaStuporEpSO;theta stupor
EEG16ChannelTopographicWavePlotEpSO;16-channel topographic wave plot;e e g16 channel topographic wave plot;16-channel topograph wave plot;e e g16 channel topograph wave plot
SleepingSicknessEpSO;sleep sick;sleeping sickness
VisualHallucinationEpSO;visual hallucination;visual hallucin
MedialOccipitotemporalGyrusEpSO;medial occipitotemporal gyrus;medial occipitotempor gyrus
ElectrodeSP2EpSO;electrode s p2;electrod s p2
FocalCorticalDysplasiaTypeIEpSO;focal cortic dysplasia type i;focal cortical dysplasia type i
EscitalopramEpSO;escitalopram
PhysicalPathologicalProcessEpSO;physical pathological process;physic patholog process
SexualPeronealSensorySeizureEpSO;sexual peron sensori seizur;sexual peroneal sensory seizure;sexual peron sendori seizur;sexual peroneal sendory seizure
SimpleVisualHallucinationStatusEpSO;simpl visual hallucin status;simple visual hallucination status
VigabatrinEpSO;vigabatrin
ScalpRecordedEEGDataEpSO;scalp record e e g data;scalp recorded e e g data
MethylinEpSO;methylin
VenousAngiomaEpSO;venous angioma
RightInsulaAnteriorLobuleEpSO;anterior segment of right insula;anterior lobule of right insula;right insula anterior lobule;right insula anterior lobul;anterior lobul of right insula
AuditoryFrontocentralN400EpSO;auditori frontocentr n400;auditory frontocentral n400
FrontopolarEpilepsyEpSO;frontopolar epilepsy;frontopolar epilepsi
NocturiaEpSO;nocturia
ChlorpromazineEpSO;chlorpromazine;chlorpromazin
CardinalBrainSegmentEpSO;cardinal brain segment;brain segment;cardin brain segment;cardin segment of brain;cardinal segment of brain
HypnopompicStatusEpSO;hypnopompic status;hypnopomp status
CardinalBodyPartEpSO;cardin bodi part;cardinal body part;bodi region;body region
SpatioTemporalRegionEpSO;spatio tempor region;spatio temporal region
NorpraminEpSO;norpramin
TofranilEpSO;tofranil
ElectrodeC6EpSO;electrod c6;electrode c6
ThumbEpSO;first digit of hand;thumb
ElectrodeAM7EpSO;electrode a m7;electrod a m7
InterIctalPatternEpSO;inter ictal pattern
UnknownCauseEpSO;unknown cause;unknown caus
MotorBereitschaftspotentialEpSO;bereitschaftspotenti;motor bereitschaftspotenti;motor bereitschaftspotential;bereitschaftspotential
RightInsulaPosteriorLobuleEpSO;right insula posterior lobul;posterior lobule of right insula;right insula posterior lobule;posterior segment of right insula;posterior lobul of right insula
CerebralHemisphereLobeEpSO;lobe of cerebr hemispher;cerebral hemisphere lobe;lobe of cerebral hemisphere;cerebr lobe;cerebr hemispher lobe;cerebral lobe
ElectrodeCI5EpSO;electrod c i5;electrode c i5
PosteriorTemporalLobeSegmentEpSO;posterior tempor lobe segment;posterior temporal lobe segment
BurstSuppressionEpSO;burst suppress;burst suppression
LeftOccipitalPoleProperEpSO;left occipit pole proper;left occipital pole proper
LorazepamEpSO;lorazepam
ChildhoodRolandicEpilepsyEpSO;childhood rolandic epilepsy;childhood roland epilepsi
PostictalToddsParalysisEpSO;postictal todds paralysis;postict todd paralysi;postictal todd's paralysis
FluoxetineEpSO;fluoxetine;fluoxetin
BrainstemSegmentEpSO;brainstem segment;segment of brainstem
StructuralCauseEpSO;structural cause;structur caus
SclerosisEpSO;sclerosis;sclerosi
AnteriorParacentralGyrusEpSO;anterior paracentral gyrus;anterior paracentr gyrus
GeneticDefectEpSO;genet defect;genetic defect
ElectrodeAF7EpSO;electrode a f7;electrod a f7
LeftLittleFingerEpSO;left littl finger;left little finger
NeurontinEpSO;neurontin®;neurontin
ElectrodeNzEpSO;electrode nz;electrod nz
BiLobarEpileptogenicZoneEpSO;bi lobar epileptogenic zone;bi lobar epileptogen zone
VersaclozEpSO;versacloz
DosulepinEpSO;dosulepin
EEGSuppressionEndEpSO;end of eeg suppression;end of eeg suppress;e e g suppress end;e e g suppression end
PromazineEpSO;promazine;promazin
KeppraXREpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>827207</rxnormid></idgroup></rxnormdata>;keppra x r;keppra xr™
FrontalArousalRhythmEpSO;frontal arous rhythm;frontal arousal rhythm
HypnogogicSeizureEpSO;hypnogog seizur;hypnogogic seizure
RightPosteriorCingulateSegmentEpSO;right posterior cingulate segment;right posterior cingul segment
AmphetamineSulfateEpSO;amphetamin sulfat;amphetamine sulfate
XenazineEpSO;xenazine;xenazin
AmphetamineAspartateMonohydrateEpSO;amphetamin aspart monohydr;amphetamine aspartate monohydrate
ElectrodeCP6EpSO;electrode c p6;electrod c p6
sParalysisEpSO;s paralysis;s paralysi
PreopticAreaEpSO;preoptic area;preoptic nuclei
TonicEpisodeEpSO;tonic episode;tonic episod
MicrodysgenesisEpSO;microdysgenesis;microdysgenesi
TachycardicSeizureEpSO;tachycard seizur;tachycardic seizure
LeftBasalOccipitalLobeSegmentEpSO;left basal occipit lobe segment;left basal occipital lobe segment
RightFootEpSO;right foot
EthosuximideEpSO;ethosuximid;ethosuximide
SCN2AEpSO;sodium channel, voltage-gated, type ii, alpha subunit;s c n2 a
ZarontinEpSO;zarontin;zarontin®
CitalopraamEpSO;citalopraam;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>540845</rxnormid></idgroup></rxnormdata>
PontineTegmentumPostremaAreaEpSO;pontine tegmentum postrema area;pontin tegmentum postrema area;area postrema in pontine tegmentum;area postrema in pontin tegmentum
AnatomicalClusterEpSO;anatomical cluster;anatom cluster
CitalopramEpSO;citalopram
AmygdalohippocampalAreaEpSO;amygdalohippocampal area;amygdalohippocamp area
PreBaselineEpSO;pre baseline;pre baselin
InternalGrayMatterComponentEpSO;internal gray matter component;intern gray matter compon
CerebralLobeSegmentEpSO;segment of cerebr lobe;cerebral lobe segment;segment of cerebral lobe;cerebr lobe segment
OccipitalPoleProperEpSO;occipital pole proper;occipit pole proper
ReturntoBaselineEpSO;postictal return to baseline;postict return to baselin;returnto baseline;returnto baselin
ElectrodeP5EpSO;electrode p5;electrod p5
MitochondrialEncephalomyopathyLacticAcidosisStrokelikeEpisodesEpSO;mitochondri encephalomyopathi lactic acidosi strokelik episod;mitochondrial encephalomyopathy lactic acidosis strokelike episodes;melas;mela
ValproicAcidEpSO;valproic acid
EuthasolEpSO;euthasol
LeftIndexFingerEpSO;left index finger
MyoclonicStatusEpSO;myoclon status;myoclonic status
VanatripEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>220736</rxnormid></idgroup></rxnormdata>;vanatrip
ClinicalEncounterEpSO;clinical encounter;clinic encount
HaponalEpSO;hapon;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>217492</rxnormid></idgroup></rxnormdata>;haponal
ActivityofSleepEpSO;activityof sleep
DoxepinHydrochlorideEpSO;doxepin hydrochloride;doxepin hydrochlorid
AplenzinEpSO;aplenzin
DuloxetineEpSO;duloxetin;duloxetine
ElavilEpSO;elavil
Central10-10SystemEpSO;central10-10 system;central 10-10 system
CardinalOrganPartEpSO;cardinal organ part;cardin organ part
ElectrodeAL3EpSO;electrode a l3;electrod a l3
MiddleFreeLimbSegmentEpSO;middl free limb segment;middle free limb segment
FocalCorticalDysplasiaTypeIIIAEpSO;fcd type iiia (cortical lamination abnormality in the temporal lobe associated with hippocampal sclerosis);fcd type iiia (cortic lamin abnorm in the tempor lobe associ with hippocamp sclerosis);focal cortic dysplasia type i i i a;focal cortical dysplasia type i i i a
SystemEpSO;10-10 system;system
ParietalOperculumEpSO;roland operculum;parieto-opercular;parietal operculum;pariet operculum;rolandic operculum
PrimidoneEpSO;primidon;primidone
AgeEpSO
EEGOnsetEpSO;e e g onset
ClozapineEpSO;clozapine;clozapin
RightLateralTemporalLobeSegmentEpSO;right lateral temporal;right later tempor lobe segment;right later tempor;right lateral temporal lobe segment
RightEyeEpSO;right orbital region;right orbit region;right eye
LeftOccipitalLobeEpSO;left occipital lobe;left occipit lobe;left occipit;left occipital
ToeEpSO;digit of foot
FocalinEpSO;focalin
BiLobarEpilepsyEpSO;bi lobar epilepsy;bi lobar epilepsi
QuadrinalEpSO;quadrinal;quadrin;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>35177</rxnormid></idgroup></rxnormdata>
LacosamideEpSO;lacosamide;lacosamid
WicketSpikeEpSO;wicket spike
RufinamideEpSO;rufinamide;rufinamid
DonnatalEpSO;donnatal;donnat
ProchlorperazineEpSO;prochlorperazine;prochlorperazin
DaytranaEpSO;daytrana
AmitriptylineHydrochlorideEpSO;amitriptyline hydrochloride;amitriptylin hydrochlorid
AmyloidAngiopathSpontaneousIntracerebralHemorrhageEpSO;amyloid angiopath spontan intracerebr hemorrhag;amyloid angiopath spontaneous intracerebral hemorrhage
DesvenlafaxineSuccinateEpSO;desvenlafaxin succin;desvenlafaxine succinate
CelexaEpSO;celexa
TonicClonicEpisodeEpSO;tonic clonic episod;tonic clonic episode
LeftTemporalLobeEpSO;left temporal lobe;left temporal;left tempor lobe;left tempor
EEGScalpFieldPotentialMapEpSO;trace;e e g scalp field potenti map;e e g scalp field potential map;eeg scalp field potential map;eeg scalp field potenti map
BrodmannArea3PostcentralGyrusEpSO;brodmann area 3 postcentr gyrus;brodmann area3 postcentr gyrus;brodmann area 3 of postcentral gyrus;brodmann area 3 of postcentr gyrus;brodmann area 3 postcentral gyrus;brodmann area3 postcentral gyrus
BrainVentricularSystemEpSO;ventricular system of brain;brain ventricular system
FocalEpilepsyEpSO;focal epilepsy;focal epilepsi
ComplexVisualHallucinationEpSO;complex visual hallucination;complex visual hallucin
ApraxisSeizureEpSO;apraxis seizure;apraxi seizur
RightPosteriorFrontalLobeSegmentEpSO;right posterior frontal lobe segment
ComplexMotorEpisodeEpSO;complex motor episode;complex motor episod
ForfivoEpSO;forfivo
RapidEyeMovementBehaviorDisorderEpSO;rapid eye movement behavior disord;rapid eye movement behavior disorder
ZonisamideEpSO;zonisamid;zonisamide
NonSomatotopicEpSO;non somatotopic;non somatotop
PosterotemporalN2cEpSO;posterotempor n2c;posterotemporal n2c
NeuraxisGanglionEpSO;ganglion of neuraxi;ganglion of neuraxis;neuraxis ganglion;neuraxi ganglion
AmoxapineEpSO;amoxapin;amoxapine
HemiClonicSeizureEpSO;hemiclon seizur;hemi clonic seizure;hemi clonic seizur;hemiclonic seizure
VersiveStatusEpSO;versive status;versiv status
ElectrodeAF8EpSO;electrode a f8;electrod a f8
PersonEpSO;person
LowGradeGliomaEpSO;low grade glioma
MesialTemporalLobeSegmentEpSO;mesial temporal lobe segment;mesial temporal;mesial tempor;mesial tempor lobe segment
EpileptogenicZoneEpSO;epileptogen zone;epileptogenic zone
BackgroundSuppressionEpSO;background suppress;background suppression
LateralFrontalEpilepsyEpSO;lateral frontal epilepsy;later frontal epilepsi
RightRingFingerEpSO;right ring finger
SubcorticalGrayMatterStructureEpSO;subcort gray matter structur;subcortical gray matter structure
